Time,EcoregionName,EcoregionIndex,NumSites,AGB,
21, eco20,15,39,22271.5, 
21, eco21,16,98,17639.9, 
21, eco22,17,695,23268, 
21, eco23,18,688,18727.5, 
21, eco24,19,567,21456.6, 
21, eco25,20,12,10841.3, 
21, eco26,21,860,18579.2, 
21, eco27,22,878,15951.1, 
21, eco28,23,746,16454.4, 
21, eco29,24,2644,21040, 
21, eco30,25,39,20238.4, 
22, eco1,0,32,19547.6, 
22, eco2,1,1239,11541.9, 
22, eco3,2,689,27181.2, 
22, eco4,3,23,17831.4, 
22, eco6,4,3,25910, 
22, eco7,5,44,17581.9, 
22, eco8,6,6,15243.5, 
22, eco10,7,1861,17520.6, 
22, eco11,8,554,16400.5, 
22, eco12,9,71,24559.9, 
22, eco14,10,1,16276, 
22, eco16,11,3333,21044.3, 
22, eco17,12,7434,32360.4, 
22, eco18,13,2972,22819.2, 
22, eco19,14,2108,25960.3, 
22, eco20,15,39,22549.4, 
22, eco21,16,98,17981.9, 
22, eco22,17,695,23822.4, 
22, eco23,18,688,19072.7, 
22, eco24,19,567,21866.1, 
22, eco25,20,12,11156.8, 
22, eco26,21,860,18817.3, 
22, eco27,22,878,16213.6, 
22, eco28,23,746,16741.4, 
22, eco29,24,2644,21272.8, 
22, eco30,25,39,20598.8, 
23, eco1,0,32,19869.2, 
23, eco2,1,1239,11751.2, 
23, eco3,2,689,27578.2, 
23, eco4,3,23,18113.5, 
23, eco6,4,3,26400.7, 
23, eco7,5,44,17857.1, 
23, eco8,6,6,15470.3, 
23, eco10,7,1861,17809.4, 
23, eco11,8,554,16685.7, 
23, eco12,9,71,24960, 
23, eco14,10,1,16520, 
23, eco16,11,3333,21392.6, 
23, eco17,12,7434,32725.8, 
23, eco18,13,2972,23186.1, 
23, eco19,14,2108,26218, 
23, eco20,15,39,22829.6, 
23, eco21,16,98,18320.3, 
23, eco22,17,695,24373.1, 
23, eco23,18,688,19419.6, 
23, eco24,19,567,22272.2, 
23, eco25,20,12,11470.9, 
23, eco26,21,860,19057.1, 
23, eco27,22,878,16479.1, 
23, eco28,23,746,17030.9, 
23, eco29,24,2644,21503, 
23, eco30,25,39,20958.7, 
24, eco1,0,32,20190, 
24, eco2,1,1239,11962.8, 
24, eco3,2,689,27968.4, 
24, eco4,3,23,18398.5, 
24, eco6,4,3,26900.3, 
24, eco7,5,44,18126.7, 
24, eco8,6,6,15742.3, 
24, eco10,7,1861,18098.4, 
24, eco11,8,554,16972.5, 
24, eco12,9,71,25364.6, 
24, eco14,10,1,16759, 
24, eco16,11,3333,21740.3, 
24, eco17,12,7434,33076.3, 
24, eco18,13,2972,23548.5, 
24, eco19,14,2108,26469.4, 
24, eco20,15,39,23111.9, 
24, eco21,16,98,18653.8, 
24, eco22,17,695,24922.1, 
24, eco23,18,688,19767.1, 
24, eco24,19,567,22671.7, 
24, eco25,20,12,11815.3, 
24, eco26,21,860,19297.4, 
24, eco27,22,878,16744.6, 
24, eco28,23,746,17324.8, 
24, eco29,24,2644,21732.1, 
24, eco30,25,39,21309.1, 
25, eco1,0,32,20517.6, 
25, eco2,1,1239,12177.5, 
25, eco3,2,689,28353.4, 
25, eco4,3,23,18683.1, 
25, eco6,4,3,27386.3, 
25, eco7,5,44,18401.9, 
25, eco8,6,6,16025.8, 
25, eco10,7,1861,18389.5, 
25, eco11,8,554,17259.5, 
25, eco12,9,71,25757.2, 
25, eco14,10,1,17057, 
25, eco16,11,3333,22086.8, 
25, eco17,12,7434,33412.1, 
25, eco18,13,2972,23908.7, 
25, eco19,14,2108,26716.2, 
25, eco20,15,39,23391.7, 
25, eco21,16,98,18987.5, 
25, eco22,17,695,25472, 
25, eco23,18,688,20116.2, 
25, eco24,19,567,23064.4, 
25, eco25,20,12,12138, 
25, eco26,21,860,19537.4, 
25, eco27,22,878,17013.3, 
25, eco28,23,746,17623.1, 
25, eco29,24,2644,21958.5, 
25, eco30,25,39,21667.9, 
26, eco1,0,32,20844.5, 
26, eco2,1,1239,12394, 
26, eco3,2,689,28734.6, 
26, eco4,3,23,18976.7, 
26, eco6,4,3,27869, 
26, eco7,5,44,18669, 
26, eco8,6,6,16289.2, 
26, eco10,7,1861,18681.4, 
26, eco11,8,554,17548.5, 
26, eco12,9,71,26144.9, 
26, eco14,10,1,17313, 
26, eco16,11,3333,22432, 
26, eco17,12,7434,33732.6, 
26, eco18,13,2972,24264.8, 
26, eco19,14,2108,26955.9, 
26, eco20,15,39,23695.8, 
26, eco21,16,98,19318.1, 
26, eco22,17,695,26018.6, 
26, eco23,18,688,20468.2, 
26, eco24,19,567,23448.3, 
26, eco25,20,12,12465.9, 
26, eco26,21,860,19776.1, 
26, eco27,22,878,17282.3, 
26, eco28,23,746,17921.5, 
26, eco29,24,2644,22182, 
26, eco30,25,39,22033.4, 
